"Nombre común","Edad","Procedencia","Fecha de ingreso","Motivo de ingreso","Destino"
"Gaviota dominicana","Adulto","Ancud","2/9/2019","Ingreso muerto","Muerte"
"Pudú","Adulto","Ancud","6/30/2019","Atropello","Muerte"
"Cisne de Cuello negro","Juvenil","Quemchi","7/18/2019","Otro","Muerte"
"Petrel Paloma","Adulto","Ancud","7/19/2019","Trauma ","Muerte"
"Pudú","Adulto","Ancud","7/20/2019","Atropello","Muerte"
"Lobo marino común","Juvenil","Quellón","7/22/2019","Trauma ","Muerte"
"Cachaña","Adulto","Queilen","7/24/2019","Trauma ","Muerte"
"Huairavo","Adulto","Ancud","8/30/2019","Trauma ","Muerte"
"Gaviotín sudamericano","Adulto","Ancud","9/11/2019","Trauma ","Muerte"
"Pudú","Adulto","Ancud  ","11/5/2019","Ataque de perros","Muerte"
"Pudú","Adulto","Quemchi","11/24/2019","Trauma ","Muerte"
"Pudú","Adulto","Dalcahue","12/6/2019","Atropello","Muerte"
"Pudú","Juvenil","Dalcahue","12/7/2019","Atropello","Muerte"
"Bandurria","Juvenil","Ancud","12/13/2019","Ingreso muerto","Muerte"
"Pudú","Juvenil","Ancud  ","12/15/2019","Ataque de perros","Muerte"
"Tiuque","Juvenil","Ancud","12/18/2019","Trauma ","Muerte"
"Gaviota dominicana","Neonato","Ancud","12/21/2019","Orfandad","Liberación"
"Fío fío","Adulto","Ancud","12/28/2019","Trauma ","Muerte"
"Lobo marino común","Juvenil","Ancud  ","12/28/2019","Trauma ","Liberación"
"Pudú","Adulto","Ancud","12/31/2019","Ataque de perros","Muerte"
"Cisne de cuello negro","Adulto","Ancud","1/3/2020","Otro","Muerte"
"Pudú","Adulto","Ancud","1/6/2020","Atropello","Muerte"
"Pingüino de magallanes","Juvenil","Osorno","1/10/2020","Trauma ","Muerte"
"Choroy","Adulto","Castro","1/11/2020","Trauma","exibición"
"Pingüino de magallanes","Juvenil","Queilen","1/15/2020","Otro","Liberación "
"Gaviota dominicana","Adulto","Ancud","1/17/2020","Traum","Exhibición"
"Pingüino de magallanes","Juvenil","Ancud","1/17/2020","Otro","Muerte"
"Pingüino de magallanes","Juvenil","Ancud","1/19/2020","Otro","Muerte"
